learning_rate,max_iter,r2,rmse
0.1,250,0.8478221299801938,0.4456847077091418
0.1,200,0.8441189293226035,0.45107491125896576
0.05,350,0.8440334257915054,0.4511986055924363
0.05,250,0.8427369189421986,0.45307006880134437
0.05,200,0.8394413978602692,0.45779260346184353
0.1,350,0.8392159694220521,0.45811386707517515
0.001,350,0.34081483526329737,0.927589223996947
0.001,250,0.262706823561654,0.9810069622318439
0.001,200,0.22052605398163938,1.0086785466560828
